0;0;nan0;0.00;;
0;0;nan0;0.00;;KP = 10
4000;0;100.004000;255.00;;
4000;1125;71.872875;255.00;;
4000;2625;34.381375;255.00;;
4000;3750;6.25250;255.00;;
4000;3375;15.63625;255.00;;
4000;4125;-3.13-125;0.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;4125;-3.13-125;0.00;;
4000;3750;6.25250;255.00;;
4000;4125;-3.13-125;0.00;;
4000;3750;6.25250;255.00;;
4000;3571;10.73429;255.00;;
4000;4125;-3.13-125;0.00;;
4000;4500;-12.50-500;0.00;;
4000;3375;15.63625;255.00;;
4000;4125;-3.13-125;0.00;;
4000;4125;-3.13-125;0.00;;
4000;4125;-3.13-125;0.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3375;15.63625;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;4125;-3.13-125;0.00;;
4000;4125;-3.13-125;0.00;;
4000;4125;-3.13-125;0.00;;
4000;4125;-3.13-125;0.00;;
0;3375;inf-3375;0.00;;
0;2250;inf-2250;0.00;;
0;1500;inf-1500;0.00;;
0;750;inf-750;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
4000;750;81.253250;255.00;;
4000;1875;53.132125;255.00;;
4000;3000;25.001000;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;4125;-3.13-125;0.00;;
4000;4125;-3.13-125;0.00;;
4000;4125;-3.13-125;0.00;;
4000;3750;6.25250;255.00;;
4000;4125;-3.13-125;0.00;;
4000;4500;-12.50-500;0.00;;
4000;3928;1.8072;255.00;;
4000;3750;6.25250;255.00;;
4000;4125;-3.13-125;0.00;;
4000;3750;6.25250;255.00;;
4000;3375;15.63625;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;4125;-3.13-125;0.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;3750;6.25250;255.00;;
4000;4125;-3.13-125;0.00;;
4000;4125;-3.13-125;0.00;;
0;3000;inf-3000;0.00;;
0;2250;inf-2250;0.00;;
0;1500;inf-1500;0.00;;
0;375;inf-375;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
0;0;nan0;0.00;;
